license_num,facility_name,phone_num,action_comment
6359249,Dr. Joseph J.K. Ma Medicine Professional Corporation,416-221-2093,Met standards.
7635696,Dr. Kranemann Medicine Professional Corporation,416-289-4000,Met standards.
391536,Finch Weston X-Ray & Ultrasound,416-644-0347,Met standards.
9718852,Finchview X-Ray & Ultrasound,416-633-4441,Met standards.
1277724,FirstSight Medical Imaging Centre,905-780-0778,Facility has not been assessed during current ownership.
5413507,Harmony Ultrasound Imaging Inc.,437-253-5008,Facility has not been assessed during current ownership.
1147879,Hitek Medical Imaging,416-493-1011,Met standards.
2649434,Hitek Medical Imaging,416-493-1011,Met standards.
8249983,Hitek Medical Imaging,416-222-6989,Met standards.
6450566,Hitek Medical Imaging,416-222-6989,Met standards.
4627346,Hitek Medical Imaging,647-346-9002,Met standards.
2201541,Humber Diagnostics Center,416-631-7581,Met standards.
5051744,Humber Diagnostics Center Inc.,416-631-7581,Met standards.
4999844,Jane Centre X-Ray & Ultrasound,416-745-1664,Met standards.
5606887,Jane Wilson Imaging Centre,416-245-4111,Met standards.
6542468,Jane-Shoreham Diagnostic Services,416-661-4441,Met standards.
3855279,KMH Cardiology Centres Inc.,905-855-1860,Met standards.
5116153,Keele & Lawrence Ultrasound,416-243-8487,Met standards.
2585972,Keelson X-Ray & Ultrasound,416-221-2644,Met standards.
8422510,Lighthouse Medical Imaging - Fairview,416-499-3559,Met standards.
5456687,Lighthouse Medical Imaging - Fairview,416-499-3559,Met standards.
2611505,Lighthouse Medical Imaging - Sheppard,,Met standards.
5344747,MCF Reproductive & Health Services,416-221-4602,Met standards.
3996912,Malvern Ultrasound & Mammography,416-449-8289,Met standards.
7698830,Metro Radiology (Wilson),416-781-2050,Met standards.
9979238,Metro Radiology Ltd.,416-462-0064,Met standards.
6346094,MyHealth Centre,416-223-5460,Met standards.
6882555,North Toronto Eye Care Inc.,416-748-2020,Facility has not been assessed during current ownership.
969265,North York Diagnostic and Cardiac Centre,416-783-0000,Met standards.
1012598,North York Diagnostic and Cardiac Centre,416-783-0000,Met standards.
7514768,North York Pulmonary Function Center Inc.,416-636-6664,Met standards.
2984302,North York Sleep & Diagnostic Centre Inc.,416-642-4232,Met standards.
3031776,Northwest Imaging Associates,416-781-2050,Met standards.
8100003,Northwest Imaging Associates,416-781-2050,Met standards.
5058023,ONTARIO IMAGING DIAGNOSTIC - Wynford,416-443-2626,Met standards.
2021087,One Vascular - North York,416-934-2144,Facility has not been assessed during current ownership.
4042591,Ontario Diagnostic Imaging Centres (ODIC) â€“ North York,416-783-9940,Facility has not been assessed during current ownership.
6710205,PDS Diagnostic Imaging,416-741-2766,Met standards.
5076918,PDS Diagnostic Imaging,416-741-2766,Met standards.
2089444,Rajinder Rathee Medicine Professional Corporation,416-494-7455,Met standards.
2479120,Sleep Diagnostics Centre,416-218-8770,Met standards.
3153812,Toronto Cardiac Diagnostics,416-691-3111,Met standards.
6661241,Toronto Lung Care Clinic,416-229-2315,Met standards.
7815710,Toronto Sleep Clinic,416-299-0400,Met standards.
4976719,Toronto West Cardiac & Radiology Institute,416-820-3143,Met standards.
2313077,Toronto West Cardiac and Medical Imaging Centre,416-740-3184,Met standards with some recommendations made for improvement.
1423510,Tripod Fertility,905-201-3420,Met standards.
1826494,True North Imaging,416-229-6887,Met standards.
7321714,True North Imaging - The Board Walk,905-707-1777,Met standards.
3041449,Ultimate Diagnostics Inc.,416-223-6500,Met standards.
1716639,Universal Pulmonary Function Laboratory,416-256-0600,Met standards.
7845546,Universal Sleep Disorder Clinic,416-256-0600,Met standards.
1102447,Victoria Terrace X-Ray & Ultrasound,416-750-4555,Met standards.
4689533,Victoria X-Ray Ultrasound,416-335-0323,Met standards.
2546871,Yonge Sheppard X-Ray & Ultrasound,647-288-1508,Facility has not been assessed during current ownership.
4610057,York Finch Eye Associates,416-745-6969,Met standards.
9891410,York Nuclear Cardiac Imaging,416-494-0030,Met standards.
3824216,York Radiology Consultants & The Breast Centre,416-494-7407,Met standards with some recommendations made for improvement.
6801400,York Radiology and Ultrasound Consultants,416-223-4884,Met standards.
2076728,York Ultrasound,416-913-4228,Met standards.
2460946,York Ultrasound Consultants,416-494-8800,Met standards.
6200566,York X-Ray Management Limited,647-427-0195,Met standards.
1509129,Yorkview X-Ray & Ultrasound,416-631-0007,Met standards.
5401460,Bronte Vascular Ultrasound,905-901-5252,Facility has not been assessed during current ownership.
2546447,Halton Cardiac and Nuclear Imaging,941-327-1615,Facility has not been assessed during current ownership.
1982119,Hospital Gate X-Ray & Ultrasound,905-825-8545,Met standards.
1544413,Oakville Diagnostic Imaging,905-337-7202,Met standards.
3046724,One Vascular Imaging - Oakville,905-815-0999,Facility has not been assessed during current ownership.
5821598,Ontario Diagnostic Centre (ODC) - Oakville,905-287-2038,Met standards.
3171114,"Peak Sleep, Oakville",905-338-3331,Met standards.
5461810,Prism Eye Institute - Mississauga,905-456-3937,Met standards.
4172891,Trafalgar X-Ray and Ultrasound,905-845-0014,Met standards.
8130576,Wentworth-Halton X-Ray and Ultrasound Inc.,905-469-2524,Met standards.
6587309,Wentworth-Halton X-Ray and Ultrasound Inc.,905-844-0181,Met standards.
1021308,Wentworth-Halton X-Ray and Ultrasound Inc.,905-469-2524,Met standards.
4053917,Wentworth-Halton X-Ray and Ultrasound Inc.,905-469-2524,Met standards.
3201545,MyHealth Centre,519-943-0022,Met standards.
3980103,Orangeville Medical Imaging,519-942-3101,Met standards.
938961,Dr. Donald R. Nixon,705-327-5776,Met standards.
456976,Hillson Medicine Professional Corporation,705-325-6591,Met standards.
56809,Memorial Ave. X-Ray and Ultrasound,705-326-2244,Met standards.
8134489,Orillia X-Ray & Ultrasound Inc.,705-327-0744,Met standards.
5592602,Canadian Diagnostic Network,613-824-3252,Met standards.
4405477,Canadian Diagnostic Network,613-824-3252,Met standards.
3279068,Canadian Diagnostic Network East Inc.,613-824-3252,Met standards.
5936493,Ottawa Cardiovascular Centre - Orleans,613-749-5421,Facility has not been assessed during current ownership.
3177417,Premier Imaging Inc.,613-686-1904,Met standards.
9571127,Bethany Medical Properties Inc.,613-824-3252,Met standards.
1876782,Dr. M. Mikhail Medicine Professional Corporation,905-434-2669,Met standards.
4076791,King Street X-Ray & Ultrasound,905-721-3588,Met standards.
5051268,"Manjula Misra, MD, FRCSC",905-721-4914,Met standards.
957098,MyHealth Centre - Oshawa Nuclear Medicine,905-723-3110,Met standards.
1548875,North Oshawa X-Ray and Ultrasound,905-579-1208,Met standards.
5846903,Oshawa Advanced Imaging,,Facility has not been assessed during current ownership.
7288988,Oshawa Diagnostic Imaging,905-438-0555,Met standards.
9022036,Oshawa Ultrasound Diagnostic Services,905-576-2622,Met standards.
8823157,Oshawa Vascular Laboratory and Ultrasound Imaging,905-438-0555,Met standards.
6503755,Oshawa X-Ray and Ultrasound,905-579-1445,Met standards.
8477160,Oshawa-Durham Sleep Laboratory,905-436-6163,Met standards.
5611024,True North Imaging (Oshawa Diagnostic Imaging),905-674-0594,Facility has not been assessed during current ownership.
1464810,Bank Respiratory Services,613-523-4444,Met standards.
4171308,Bio-Test Radiology,613-737-6872,Met standards.
7724098,Canadian Diagnostic Network,613-824-3252,Met standards.
5051367,Canadian Diagnostic Network,613-824-3252,Met standards.
972397,Canadian Diagnostic Network,613-824-3252,Facility has not been assessed during current ownership.
8806931,Canadian Diagnostic Network,613-824-3252,Facility has not been assessed during current ownership.
2901413,Canadian Diagnostic Network,613-824-3252,Met standards.
156467,Canadian Diagnostic Network,613-824-3252,Facility has not been assessed during current ownership.
1966725,Canadian Diagnostic Network,613-824-3252,Met standards.
6768912,Canadian Diagnostic Network,613-824-3252,Met standards.
3406312,Canadian Diagnostic Network Inc.,613-824-3252,Met standards.
1424304,Canadian Medical Licences Inc.,613-824-3252,Licensee has indicated that all recommendations have been addressed.
844166,Canadian Medical Licences Inc.,613-824-3252,Met standards.
7499244,Carling Pulmonary Function Services,613-729-8262,Met standards.
7462261,Carling Ultrasound,613-728-2806,Met standards.
1755537,Dr. Peter Agapitos,613-236-9929,Met standards.
1966730,Dr. Peter J. Konzuk,613-237-3166,Met standards.
7431393,Everest Surgicentre,613-724-3937,Facility has not been assessed during current ownership.
4412910,Herzig Eye Institute Ottawa,613-800-1680,Facility has not been assessed during current ownership.
9721107,Kilborn Nuclear Imaging,613-738-8098,Facility has not been assessed during current ownership.
156468,Merivale-Hunt Club,613-727-1072,Met standards.
4139984,Ottawa Birth and Wellness Centre,613-260-1441,Met standards.
2780785,Ottawa Eye Associates,613-226-2801,Met standards.
8958536,Ottawa Eye Clinic,613-745-7844,Met standards.
7565349,Precision Cornea Centre Inc.,613-746-2244,Facility has not been assessed during current ownership.
5054894,Sound Diagnosis,613-739-4711,Met standards.
2876790,The Morgentaler Clinic,416-932-0446,Met standards.
5005756,The Ottawa Fertility Centre Inc.,613-686-3378,Met standards.
4363375,West Ottawa Sleep Centre,613-722-9900,Met standards.
3180971,iCare Surgical Centre,613-596-0300,Met standards.
5812004,iCare Surgical Centre,613-596-0300,Facility has not been assessed during current ownership.
3090625,Dr. Norman Mainville Medicine Professional Corporation,519-376-2121,Met standards.
5081582,Owen Sound Medical Imaging,519-376-2000,Met standards.
3116962,Brantford Radiology Group,226-806-5829,Met standards.
2149972,A. Shoughary Medicine Professional Corporation,613-717-5054,Met standards.
5106332,2601398 Ontario Inc.,613-824-3252,Facility has not been assessed during current ownership.
6004800,Canadian Diagnostic Network,613-824-3252,Met standards.
9991980,Canadian Diagnostic Network,613-824-3252,Facility has not been assessed during current ownership.
1813156,1853805 Ontario Ltd.,705-740-6802,Met standards.
1663135,Apex Diagnostic Services,705-874-6660,Met standards.
4013891,Dialysis Management Clinics Inc.,705-876-8737,Met standards.
4441238,Kawartha Diagnostic Imaging,705-745-9195,Met standards.
9669790,Kawartha Respirology Diagnostic Services Inc.,705-775-1021,Met standards.
5041744,Medical Arts X-Ray,705-743-7810,Met standards.
954510,Medical Centre Diagnostic Services,705-876-4513,Met standards.
144166,Medical Centre Diagnostic Services,705-876-4513,Met standards.
8033569,Peterborough Vascular Lab Inc.,705-748-9242,Met standards.
6397967,The Medical Centre,705-749-9695,Met standards.
5320546,The Peterborough Clinic,705-743-2040,Met standards.
5409604,Trent Regional Sleep Clinic,705-741-3923,Met standards with some recommendations made for improvement.
7597613,Turnbull Diagnostic Imaging,705-742-3639,Met standards.
1203541,1853805 Ontario Ltd.,705-740-6802,Met standards.
4443981,Dialysis Management Clinics Inc.,905-831-1200,Met standards.
2351968,EXR Medical Imaging - Pickering Location,905-839-1806,Met standards.
5403904,MyHealth Centre,905-420-3068,Met standards.
2860601,Pickering Centre For Sleep Disorders,905-420-9626,Met standards.
9367999,Pickering Diagnostic Imaging Centre,905-831-2255,Met standards.
3033991,Sarnia Diagnostic Imaging Inc.,519-491-8377,Met standards.
911893,Port Hope X-Ray & Ultrasound,416-781-2050,Met standards.
1366497,Port Perry Imaging,905-985-9727,Met standards.
8667902,Bayview Diagnostic Centre,905-604-8400,Met standards.
6419378,Bayview Hill Diagnostic Imaging,905-237-9366,Met standards.
6346054,Care Medical Imaging,905-780-1125,Met standards.
1539185,Chalmers Gate X-Ray & Ultrasound,905-731-4007,Met standards.
3218304,Dr. Ali Ahadian,905-707-9333,Facility has not been assessed during current ownership.
8087364,Oak Ridges Medical Diagnostic Imaging,905-773-6861,Met standards.
3570063,Richmond Hill Diagnostic Center,905-884-0904,Facility has not been assessed during current ownership.
2620058,Richmond Hill Diagnostic Centre,905-884-0904,Met standards.
7936930,Richmond Hill Sleep and Lung Institute,905-764-8808,Met standards.
7525902,X-Ray Associates,905-737-0595,Met standards.
5419692,York Region Sleep Disorders Centre,905-773-7842,Met standards.
2771167,2601398 Ontario Inc.,613-824-3252,Facility has not been assessed during current ownership.
3306447,Canadian Diagnostic Network,613-824-3252,Facility has not been assessed during current ownership.
4262698,Clarence - Rockland Imaging,613-446-4263,Met standards with some recommendations made for improvement.
1391442,Plantagenet Imaging,613-446-4263,Met standards with some recommendations made for improvement.
7761988,Rockland Imaging,613-446-4263,Met standards.
8597363,Bluewater Sleep Disorder Clinic,519-332-5333,Met standards.
6250390,Dr. Murari Patodia,519-336-4448,Met standards.
5905974,MyHealth Centre,519-336-8110,Facility has not been assessed during current ownership.
2391566,MyHealth Centre,519-336-8110,Facility has not been assessed during current ownership.
2699434,Dr. Elizabeth Golesic Medicine Professional Corporation,705-450-7121,Met standards.
8998526,Dr. Mark Bariciak,705-949-5182,Met standards.
614160,MyHealth Centre,705-759-1144,Met standards.
8423504,MyHealth Centre,705-759-1144,Met standards.
841536,MyHealth Centre,705-759-1144,Met standards.
5016914,Superior Sleep Centre Inc.,705-254-3312,Met standards.
7147908,The Group Health Centre,705-759-5551,Met standards.
7209495,Agincourt Pulmonary Services,416-321-2613,Met standards.
5038767,Alton Towers X-Ray and Ultrasound Services,416-792-6314,Met standards.
6867950,Antrim X-Ray and Ultrasound,647-352-6314,Met standards.
6476722,"Bellesmere X-Ray, Ultrasound & Bone Density",416-289-2280,Met standards.
3111683,Brimley Wenlock X-Ray & Ultrasound,416-292-3883,Met standards.
5182135,"Brimley X-Ray,Ultrasound & Bone Density",416-299-7677,Met standards.
5050068,Corcare Nuclear Medicine,416-284-4744,Met standards.
823597,Diagnostic Assessment Centre,416-291-7300,Facility has not been assessed during current ownership.
6812145,Donvale Ultrasound Services Ltd.,416-694-2198,Met standards.
3256753,Donvale X-Ray,416-694-2194,Met standards.
747966,Donway X-Ray,416-759-3462,Met standards.
5175509,Dr. Walter Liao,416-299-1484,Facility has not been assessed during current ownership.
6026877,East End Breast Imaging,416-820-3143,Met standards.
9641407,Eglinton Danforth Road Radiology,416-977-2548,Met standards.
6399969,Eglinton Danforth Road Radiology,416-977-2548,Met standards.
8186413,Ellesmere Sleep Disorders Centre,416-439-0130,Met standards.
7951319,Ellesmere X-Ray Associates,416-284-1697,Met standards.
331166,Goldberg Centre,416-754-3937,Met standards.
36164,Golden Radiology,416-701-1222,Met standards.
6446292,IVF Canada,416-754-1010,Met standards.
406443,KMH Cardiology Centres Inc.,905-855-1860,Met standards.
9362513,Kennedy & Sheppard Diagnostic Clinic,416-299-9895,Met standards.
3577982,Kennedy and Sheppard Diagnostic Clinic,416-299-9895,Met standards.
3011367,King-Mar Diagnostic Centre,416-264-4343,Met standards.
1155846,Lawrence and Midland Radiology Centre,416-288-1333,Met standards.
9592312,Lawrence-Kingston Road X-Ray & Ultrasound,416-281-4167,Met standards.
4901319,Lighthouse Medical Imaging - Finch,416-293-5940,Met standards.
1344410,Lighthouse Medical Imaging - Finch,416-293-5940,Met standards.
9808292,Lucent Medical Imaging,416-466-4152,Met standards.
5868472,Malvern Sleep Clinic,416-282-9119,Met standards.
2346477,Markham-Lawrence X-Ray & Ultrasound,416-431-1889,Met standards.
1476703,Markham-Lawrence X-Ray and Ultrasound,416-431-1889,Met standards.
8125414,Med Image Diagnostic Centre,416-287-1818,Met standards.
6410566,Metro Radiology (Markham),416-781-2050,Met standards.
2251547,Milliken Finch Diagnostic Imaging,416-292-1505,Met standards.
6543634,Milliken Wells X-Ray and Ultrasound,416-321-2670,Met standards.
3033585,Ming Wui Medical Centre,416-903-3320,Facility has not been assessed during current ownership.
1880121,Ming Wui Medical Centre,416-903-3320,Facility has not been assessed during current ownership.
2211548,MyHealth Centre,416-690-9437,Met standards.
6678190,MyHealth Centre,416-690-9437,Met standards.
5972525,MyHealth Centre,416-690-9437,Facility has not been assessed during current ownership.
8661227,MyHealth Centre,416-690-9437,Met standards.
200177,North Scarborough X-Ray & Ultrasound,416-497-4452,Met standards with some recommendations made for improvement.
4140949,North Toronto Sleep Centre Inc.,416-293-3233,Met standards.
3062794,Ontario Imaging Center - Scarborough,416-298-9752,Met standards.
6328797,Ontario Imaging Diagnostics (OID) - 3000 Lawrence,416-438-6636,Met standards.
8379411,Ontario Imaging Diagnostics (OID) - Compu-Sound Vascular Lab,416-431-5885,Met standards.
8002369,Ontario Imaging Diagnostics (OID) - Markham & Ellesmere,416-439-4866,Met standards.
5563222,Quantum Medical Imaging Services Inc.,416-756-7667,Met standards.
9611404,Radiant Medical Imaging,416-321-9243,Met standards.
7215989,Respiratory & PFT Services Inc.,647-343-3579,Met standards.
8170383,SLEEP CARE Solutions Scarborough,416-292-3218,Met standards.
9593010,Scarborough Cardiac Diagnostic Centre,416-750-9000,Met standards.
7026614,Scarborough Clarity Eye,416-663-3937,Met standards.
8077920,Scarborough Eye Associates,416-438-6001,Met standards.
2151417,Scarborough North Pulmonary Function Services Inc.,416-293-3233,Met standards.
1259588,Scarborough Radiology,416-757-8497,Met standards.
1923550,Scarborough Women's Imaging Centre,416-296-1911,Met standards.
8005265,Sheppard Court X-Ray & Ultrasound,416-226-3444,Met standards.
3075544,Silver Star X-Ray & Ultrasound,416-221-2644,Met standards.
3018297,Sleep-Wake Disorders Clinic,416-751-4356,Met standards with some recommendations made for improvement.
2853922,Taigu X-Ray and Ultrasound,416-299-3443,Met standards.
4124581,Toronto Diagnostic Centre,416-288-1114,Met standards.
5265117,Toronto Diagnostic Centre,416-288-1114,Met standards.
1134842,Toronto East X-Ray and Ultrasound,647-350-0401,Met standards.
1057016,Toronto East X-Ray and Ultrasound,416-624-3626,Met standards.
5225596,Toronto Lung Care Clinic,416-439-0130,Met standards.
6057990,Toronto Lung Care Clinic - East,416-439-0130,Met standards.
8513766,Trillium Sleep Laboratory,416-292-8292,Met standards.
8219102,True North Imaging,416-291-4770,Met standards.
2601696,True North Imaging,905-707-1777,Met standards.
2350366,Ultimate Diagnostics,416-298-3656,Met standards with some recommendations made for improvement.
1670323,Uptown Eye Specialists (Scarborough),416-292-0330,Met standards.
208101,VPM Imaging,416-759-3462,Met standards.
2363315,VPM Imaging,416-759-3462,Met standards.
9132225,WELL Health Diagnostic Centres,416-690-9437,Met standards.
3966782,Warden Woods X-Ray and Ultrasound,416-699-6222,Met standards.
4706496,West Hill Medical Imaging Inc.,416-792-8222,Met standards.
3851600,S. Sivakumar Medicine Professional Incorporated,519-426-9851,Met standards.
5901814,Simcoe Diagnostic Imaging,519-426-5068,Met standards.
1106997,WELL Health Diagnostic Centres,519-428-1243,Met standards.
4223075,WELL Health Diagnostic Centres,519-428-1243,Met standards.
8163056,Canadian Medical Licences Inc.,613-824-3252,Facility has not been assessed during current ownership.
850846,Barclay Diagnostic Imaging,905-934-3838,Met standards.
3612839,Greater Niagara Medical Imaging,905-685-0132,Met standards.
2391559,Greater Niagara Medical Imaging,905-685-0132,Met standards.
6941194,Greater Niagara Medical Imaging,905-684-6388,Met standards.
8315235,Greater Niagara Medical Imaging,905-935-0270,Met standards.
6797226,Greater Niagara Medical Imaging,905-684-6388,Met standards.
8195934,KMH Cardiology Centres Inc.,905-855-1860,Met standards.
6056366,One Vascular - St. Catharines,905-688-5959,Facility has not been assessed during current ownership.
4137151,Sleep Disorders Clinic of Greater Niagara,905-529-2259,Met standards.
5280982,Elgin Imaging Services,519-631-6437,Facility has not been assessed during current ownership.
8885646,Southwest Ultrasound Limited,519-617-6251,Met standards.
460477,Avantia Medical Imaging and Restorative Health,613-714-1000,Met standards.
16104,KMH Cardiology Centres Inc.,905-855-1860,Met standards.
2896836,Mark Fava Medicine Professional Corporation,905-561-2200,Met standards.
1057538,One Vascular Imaging - Hamilton,905-662-3174,Met standards.
5315511,Southmount Medical Imaging Inc.,905-387-4551,Met standards.
2701551,Wentworth-Halton X-Ray and Ultrasound Inc.,905-549-0433,Met standards.
5300569,Wentworth-Halton X-Ray and Ultrasound Inc.,905-662-4953,Met standards.
1039876,Wentworth-Halton X-Ray and Ultrasound Inc.,905-549-0433,Met standards.
1112352,Stouffville Diagnostic Ultrasound Services,905-640-2243,Met standards.
5185553,Stouffville X-Ray and Ultrasound,905-640-2243,Met standards.
2443052,David C. Schulz Medicine Professional Corporation,226-633-5888,Met standards.
5426707,Greater Niagara Medical Imaging,519-273-1721,Met standards.
2238124,Dr. Curtis J. Sorgini,705-523-5555,Met standards.
9866432,Dr. Larry Schonberger,705-560-6740,Met standards.
1355103,Dr. Stephen E. Kosar,705-523-4545,Met standards.
5655977,Kent Eye Institute,705-806-6060,Met standards.
8276421,MyHealth Centre,705-523-1295,Met standards.
8041794,MyHealth Centre,705-673-2565,Met standards.
477482,MyHealth Centre,888-775-5531,Met standards.
5642199,NEO Fertility Services,705-222-3272,Facility has not been assessed during current ownership.
2842285,Sudbury Vascular Laboratory,705-522-4611,Met standards.
8026714,WELL Health Diagnostic Centres,705-523-1295,Met standards.
8023712,WELL Health Diagnostic Centres,888-775-5531,Met standards.
9567992,Clear Medical Imaging,519-256-4914,Met standards.
4751893,Clear Medical Imaging,519-256-4914,Met standards.
5101514,Erie St. Clair Radiology (ESR) Clinics,519-979-2255,Met standards.
5906449,Essex County Respiratory Services,519-739-2727,Met standards.
3011914,Accurate Imaging Diagnostics,905-763-0009,Met standards.
7398810,Canadian Vascular Laboratories,416-221-9001,Met standards.
1477780,Healthwise Diagnostics,905-695-5665,Met standards.
2105556,Humber Valley Cardiovascular Imaging,905-881-1455,Met standards.
2301413,IVF Canada,905-597-7661,Met standards.
8197940,Toronto Sleep Institute,905-709-9696,Met standards.
9473928,True North Imaging,905-889-5926,Met standards.
4429580,WELL Health Diagnostic Centres,905-889-2400,Met standards.
6022923,Wisdom Medical Inc.,905-886-1212,Met standards.
5322447,Niagara Eye Care Centre Inc.,905-684-8521,Met standards.
8076918,Lusitropic Diagnostics Inc.,807-346-9729,Met standards.
4611989,MDAC Sleep Inc.,807-683-4415,Met standards.
1376959,Superior Diagnostic Imaging Centre,807-346-8646,Met standards.
2658790,Thunder Bay Diagnostics Inc.,807-683-4411,Met standards.
8099989,Thunder Bay Diagnostics Inc.,807-683-4411,Met standards.
5038832,Thunder Bay Radiology Inc.,807-683-4411,Met standards.
5890599,Thunder Bay Ultrasound Inc.,807-622-2244,Met standards.
3076125,1335120 Ontario Ltd.,416-457-9441,Facility has not been assessed during current ownership.
609526,WELL Health Diagnostic Centres,647-245-9000,Facility has not been assessed during current ownership.
3763195,(Don Mills) Insight Diagnostic Imaging,416-465-5735,Met standards.
682091,(Don Mills) Insight Diagnostic Imaging,416-465-5735,Met standards.
6506810,123 Edward Street Diagnostic Imaging Ltd.,416-781-2050,Met standards.
5391410,123 Edward Street Diagnostic Imaging Ltd.,416-781-2050,Met standards.
5221255,2387755 Ontario Inc.,416-792-0083,Met standards.
5820599,Albany Diagnostic Radiology,416-461-9471,Met standards.
4682097,Albany Ultrasound,416-461-9471,Met standards.
9641007,Annex Medical Imaging,416-531-1128,Met standards with some recommendations made for improvement.
9847123,Annex Medical Imaging,416-531-1128,Met standards with some recommendations made for improvement.
5326698,Bay Cardiac Diagnostic Inc.,416-591-1333,Met standards with some recommendations made for improvement.
6872794,Bay Street Ultrasound,416-597-1933,Facility has not been assessed during current ownership.
1932458,Bayview Pulmonary Services Inc.,647-969-1379,Met standards.
50100,Best Care Imaging,416-531-1123,Met standards.
7057621,Bloor Christie Diagnostic Services,416-588-5937,Met standards.
847286,Bochner Eye Institute,416-960-2020,Met standards.
1300104,Cabbagetown Women's Clinic,416-323-0642,Met standards.
2911175,Central Toronto Diagnostic Imaging,416-465-5735,Met standards.
176794,Central Toronto Diagnostic Imaging,416-465-5735,Met standards.
9100468,Centre for Sleep and Chronobiology Inc.,416-603-9531,Met standards.
3876784,Charm Ultrasound,416-748-2800,Met standards.
9682732,Choice in Health Clinic,416-975-0315,Met standards.
3150721,City X-Ray Services,416-534-8487,Met standards with some recommendations made for improvement.
3660970,Clarity Eye Midtown Site,416-663-3937,Met standards.
7017229,College Diagnostic Imaging,416-925-3823,Met standards.
5061463,Coxwell Ultrasound,416-465-4679,Met standards.
3476695,Create Fertility Clinic Inc.,416-323-7727,Facility has not been assessed during current ownership.
2658325,Danforth/Main X-Ray Ultrasound & Mammography Clinic,416-691-5071,Met standards.
793127,Don Valley X-Ray and Ultrasound,416-461-9891,Facility has not been assessed during current ownership.
277601,Dr. Jeff Charendoff,416-782-6111,Met standards.
9795093,Dr. John Christakis,416-462-0393,Met standards.
7613794,Dragon City X-Ray & Ultrasound,416-603-1197,Met standards.
177489,East Toronto Vascular Clinic,416-259-7975,Met standards.
5285202,Forest Hill Medical Imaging,416-640-1103,Met standards.
1064419,Hannam Fertility Centre,416-595-1521,Met standards.
4027423,Insight Diagnostic Imaging,416-519-9699,Met standards.
1236624,Inspiration Pulmonary Function,416-944-9602,Met standards.
2320846,KMH Cardiology Centres Inc.,905-855-1860,Met standards.
1138903,Kainam Pulmonary Investigation,416-975-1613,Met standards.
5401822,Kensington Diagnostic Imaging Centre,416-962-3202,Met standards.
8897391,Kensington Vision & Research Centre,416-928-2132,Met standards.
2968147,Margolin Medicine Professional Corporation,647-748-8377,Facility has not been assessed during current ownership.
5701040,Medcan Health Management Inc.,416-350-0590,Met standards.
5443511,Meridia Medical,416-484-8383,Met standards.
1115291,Metro Central Ultrasound,416-777-2186,Met standards.
3809136,Metro Radiology (Bay & Gerrard),416-781-2050,Licensee has indicated that all recommendations have been addressed.
9093617,Metro Radiology (Glencairn),416-781-2050,Met standards.
6446092,Midtown Diagnostic Imaging,416-485-9155,Facility has not been assessed during current ownership.
465477,MyHealth Centre,416-928-3467,Met standards.
1305104,New Dufferin Diagnostic Imaging,416-781-2050,Met standards.
5205302,Ontario Diagnostic Centre (ODC) - Roncesvalles,416-533-7078,Met standards.
8952609,Ontario Diagnostic Centre (ODC) - Yonge,416-975-8951,Facility has not been assessed during current ownership.
2027798,Ophthalmology Associates SHSC,416-480-4763,Met standards.
7700617,Pape Avenue X-Ray Ltd.,416-461-9848,Met standards.
7993519,Pollin Fertility,905-707-1777,Facility has not been assessed during current ownership.
2343567,RR Imaging,416-485-9471,Met standards.
1275988,ReGen Scientific Inc.,416-350-3608,Met standards.
762129,Respiratory Services Limited,416-920-3737,Met standards.
632295,Riverside Cardiology & Diagnostic Imaging,416-766-1162,Met standards.
5049912,Rosedale Medical Imaging,416-968-1360,Facility has not been assessed during current ownership.
4195960,SLEEP CARE Solutions Yonge & Davisville,416-792-9436,Met standards.
4179104,Sleep and Alertness Clinic,416-837-8181,Met standards.
5401322,St. Clair Diagnostic Imaging,416-656-6034,Met standards.
7322335,Stein Surgical Centre Inc.,416-972-1100,Met standards with some recommendations made for improvement.
4412518,The Kensington Eye Institute,416-928-2132,Met standards.
8248436,The Morgentaler Clinic,416-932-0446,Met standards.
3300103,The Toronto Asthma Centre,416-603-5499,Met standards.
8155300,The Toronto Cardiac Clinic,416-883-3783,Facility has not been assessed during current ownership.
2283351,The Toronto Centre for Medical Imaging,416-368-8488,Met standards.
5041449,Thorncliffe Radiology,416-696-9836,Facility has not been assessed during current ownership.
8413510,Thorncliffe Radiology,416-696-9836,Facility has not been assessed during current ownership.
3092988,Toronto Birth Centre,416-366-8080,Met standards.
3200843,Toronto Cardiovascular Ultrasound,416-551-1269,Met standards.
8043924,Toronto Sleep & Pulmonary Centre,416-813-2277,Met standards.
2815050,Toronto Sleep Clinic,416-792-9436,Met standards.
7234709,Toronto Sleep Institute,416-488-6980,Met standards.
9472518,Toronto Ultrasound Imaging,416-921-1333,Met standards.
4093960,Toronto Vascular Centre,416-966-3886,Met standards.
1215393,Toronto Vascular Ultrasound,416-929-9032,Met standards.
1851890,True North Imaging,905-707-1777,Met standards.
7641890,True North Imaging,416-572-9392,Met standards.
5324467,True North Imaging,416-597-1933,Met standards.
589576,True North Imaging - Toronto West Ultrasound,905-707-1777,Met standards.
2195305,WELL Health Diagnostic Centres,416-864-1814,Met standards.
2355930,WELL Health Diagnostic Centres,416-260-9382,Met standards.
5929305,West End Diagnostic Imaging,416-763-4331,Met standards.
